ID,Source,Destination,Date
1,"Wuhan, China","Huanan, China",29-Dec-19
2,"Wuhan, China","Anyang, China",10-Jan-20
3,"Wuhan, China","Bangkok, Thailand",13-Jan-20
4,"Wuhan, China","Tokyo, Japan",16-Jan-20
5,"Wuhan, China","Zhejiang, China",19-Jan-20
6,"Wuhan, China","Zhejiang, China",19-Jan-20
7,"Wuhan, China","Tokyo, Japan",20-Jan-20
8,"Wuhan, China","Bangkok, Thailand",20-Jan-20
9,"Wuhan, China","Seoul, South Korea",20-Jan-20
10,"Wuhan, China","Snohomish, WA",20-Jan-20
11,"Wuhan, China","Kirkland, WA",21-Jan-20
12,"Wuhan, China","Sihanoukville, Cambodia",23-Jan-20
13,"Wuhan, China","Singapore City, Singapore",23-Jan-20
14,"Wuhan, China","Chicago, Illinois",24-Jan-20
15,"Wuhan, China","Paris, France",24-Jan-20
16,"Wuhan, China","Victoria, Australia",25-Jan-20
17,"Wuhan, China","Toronto, Canada",25-Jan-20
18,"Wuhan, China","Orange County, CA",25-Jan-20
19,"Singapore City, Singapore","Kuala Lumpur, Malaysia",25-Jan-20
20,"Lombardy, Italy","Munich, Germany",27-Jan-20
21,"Wuhan, China","Nanjing, China",28-Jan-20
22,"Wuhan, China","Dubai, UAE",29-Jan-20
23,"Wuhan, China","Ivalo, Finland",29-Jan-20
24,"Zhejiang, China","Rome, Italy",30-Jan-20
25,"Wuhan, China","Kerala, India",30-Jan-20
26,"Wuhan, China","St. Petersburg, Russia",31-Jan-20
27,"Wuhan, China","Rome, Italy",31-Jan-20
28,"Munich, Germany","Gomera, Spain",31-Jan-20
29,"Wuhan, China","Stockholm, Sweden",31-Jan-20
30,"Zhejiang, China","York, United Kingdom",31-Jan-20
31,"Wuhan, China","Brussels, Belgium",4-Feb-20
32,"Wuhan, China","Myongji, South Korea",6-Feb-20
33,"Wuhan, China","Qom, Iran",19-Feb-20
34,"Nagasaki, Japan","Ramat Gan, Israel",21-Feb-20
35,"Dubai, UAE","Manama, Bahrain ",21-Feb-20
36,"Rome, Italy","Morocco, Algeria",25-Feb-20
37,"Lombardy, Italy","Innsbruck, Austria ",25-Feb-20
38,"Lombardy, Italy","Sao Paulo, Brazil",25-Feb-20
39,"Rome, Italy","Thessaloniki, Greece ",26-Feb-20
40,"Rome, Italy","Tilburg, Netherlands",27-Feb-20
41,Rome Italy,"Manatee County, FL",1-Mar-20
42,"Tehran, Iran","New York, NY",1-Mar-20
43,"Tehran, Iran","New York, NY",1-Mar-20
44,Rome Italy,"Fulton County, GA",2-Mar-20
45,"Rome, Italy","Fulton County, GA",2-Mar-20
46,"Milan, Italy","Andorra la Vella, Andorra",2-Mar-20
47,"Tokyo, Japan","Jakarta, Indonesia",2-Mar-20
48,"Rome, Italy","Amman, Jordan",2-Mar-20
49,"Tehran, Iran","Riga, Latvia",2-Mar-20
50,"Tehran, Iran","Riyadh, Saudi Arabia",2-Mar-20
51,"Paris, France","Dakar, Senegal",2-Mar-20
52,"Milan, Italy","Casablanca, Morocco",2-Mar-20
53,"Rome, Italy","Gafsa, Tunisia",2-Mar-20
54,"Milan, Italy","Buenos Aires, Argentina",3-Mar-20
55,"Rome, Italy","Kiev, Ukraine ",3-Mar-20
56,"Tehran, Iran","Budapest, Hungary",4-Mar-20
57,"Rome, Italy","Banja Luka, Bosnia and Herzegovina",4-Mar-20
58,"Milan, Italy","Bethlehem, Palestine",5-Mar-20
