ID,Source,Destination,Date
1,China,China,12/29/19
2,China,China,1/10/20
3,China,Thailand,1/13/20
4,China,Japan,1/16/20
5,China,China,1/19/20
6,China,China,1/19/20
7,China,Japan,1/20/20
8,China,Thailand,1/20/20
9,China,South Korea,1/20/20
10,China,USA,1/20/20
11,China,USA,1/21/20
12,China,Cambodia,1/23/20
13,China,Singapore,1/23/20
14,China,USA,1/24/20
15,China,France,1/24/20
16,China,Australia,1/25/20
17,China,Canada,1/25/20
18,China,USA,1/25/20
19,Singapore,Malaysia,1/25/20
20,Italy,Germany,1/27/20
21,China,China,1/28/20
22,China,UAE,1/29/20
23,China,Finland,1/29/20
24,China,Italy,1/30/20
25,China,India,1/30/20
26,China,Russia,1/31/20
27,China,Italy,1/31/20
28,Germany,Spain,1/31/20
29,China,Sweden,1/31/20
30,China,United Kingdom,1/31/20
31,China,Belgium,2/4/20
32,China,South Korea,2/6/20
33,China,Iran,2/19/20
34,Japan,Israel,2/21/20
35,UAE,Bahrain ,2/21/20
36,China,Hong Kong,2/22/20
37,Singapore,Australia,2/22/20
38,China,Hong Kong,2/23/20
39,Italy,Algeria,2/25/20
40,Italy,Austria ,2/25/20
41,Italy,Brazil,2/25/20
42,Italy,Finland,2/25/20
43,Italy,Brazil,2/25/20
44,Italy,Germany,2/25/20
45,Spain,France,2/25/20
46,Italy,Greece ,2/26/20
47,Iran,Norway,2/26/20
48,Italy,Netherlands,2/27/20
49,Italy,United Kingdom,2/27/20
50,Italy,Switzerland,2/27/20
51,Italy,Mexico,2/27/20
52,South Korea,USA,2/27/20
53,Iran,New Zealand,2/27/20
54,Iran,Australia,2/28/20
55,Iran,Canada,2/28/20
56,Iran,Australia,2/28/20
57,Iran,USA,2/29/20
58,Iran,Australia,2/29/20
59,Italy,United States,3/1/20
60,Iran,United States,3/1/20
61,Italy,United States,3/2/20
62,Italy,Andorra,3/2/20
63,Japan,Indonesia,3/2/20
64,Italy,Jordan,3/2/20
65,Iran,Latvia,3/2/20
66,Iran,Saudi Arabia,3/2/20
67,France,Senegal,3/2/20
68,Italy,Morocco,3/2/20
69,Italy,Tunisia,3/2/20
70,Italy,Argentina,3/3/20
71,Italy,Ukraine,3/3/20
72,Iran,Hungary,3/4/20
73,Italy,Bosnia and Herzegovina,3/4/20
74,USA,Canada,3/5/20
75,Italy,Palestine,3/5/20
76,Spain,Chile,3/6/20
77,Spain,Panama,3/6/20
78,Netherlands,France,3/6/20
79,Netherlands,Ireland,3/6/20
80,Spain,Chile,3/6/20
81,Egypt,Japan,3/8/20
82,France,Switzerland,3/8/20
83,France,Iceland,3/8/20
84,Japan,Ireland,3/8/20
85,Egypt,Japan,3/9/20
86,France,Canada,3/9/20
87,France,Iceland,3/9/20
88,Italy,Spain,3/9/20
89,USA,Canada,3/10/20
90,USA,United Kingdom,3/10/20
91,USA,Netherlands,3/10/20
92,Egypt,Japan,3/12/20
93,France,Canada,3/12/20
94,Spain,Australia,3/13/20
95,Spain,Canada,3/13/20
,,,
,,,
,,,
,,,
,,,
,,a,
