"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
"192	[PDF][PDF] Coronavirus disease 2019 (COVID-19): situation report"," 72	https://apps.who.int/iris/bitstream/handle/10665/331685/nCoVsitrep01Apr2020-eng.pdf	""… WHO has described four levels of COVID-19 transmission with varying public health and social",,,,,,,,,,,,,,,
measures depending on the local evolution of the COVID-19 pandemic. For more details, please,,,,,,,,,,,,,,,
see 'Subject in Focus' … WHO has described four levels of COVID-19 transmission … ,,,,,,,,,,,,,,,,
"
193	Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records	https://www.sciencedirect.com/science/article/pii/S0140673620303603	Background Previous studies on the pneumonia outbreak caused by the 2019 novel coronavirus disease (COVID-19) were based on information from the general population. Limited data are available for pregnant women with COVID-19 pneumonia. This study aimed …
194	[HTML][HTML] Early dynamics of transmission and control of COVID-19: a mathematical modelling study	https://www.sciencedirect.com/science/article/pii/S1473309920301444	Background An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to 95 333 confirmed cases as of March 5, 2020. Understanding the early transmission dynamics of the infection and evaluating the effectiveness of control measures …
195	[HTML][HTML] Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	… In the model", subclinical cases were never isolated, whereas symptomatic cases might transmit,,,,,,,,,,,,,,
before symptoms appear, but were … have adopted a quarantine or self-quarantine policy for airline,,,,,,,,,,,,,,,
travellers who have returned from countries with confirmed COVID-19 transmission … ,,,,,,,,,,,,,,,,
"
196	COVID-19: Gastrointestinal Manifestations and Potential Fecal–Oral Transmission	https://www.gastrojournal.org/article/S0016-5085(20)30281-X/abstract	The outbreak of novel coronavirus (2019-nCoV) pneumonia initially developed in one of the largest cities, Wuhan, Hubei province of China since early December 2019 has been declared the sixth public health emergency of international concern by the World Health …
197	[HTML][HTML] How will country-based mitigation measures influence the course of the COVID-19 epidemic?	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30567-5/fulltext?utm_campaign=tlcoronavirus20&utm_content=120403755&utm_medium=social&utm_source=twitter&hss_channel=tw-27013292	… Third", the effect of seasons on transmission of COVID-19 is unknown; 11: Lipsitch M. Will,,,,,,,,,,,,,,,
COVID-19 go away on its own in warmer weather? Center for Communicable Disease,,,,,,,,,,,,,,,,
Dynamics (CCDD) at the Harvard TH Chan School of Public Health … ,,,,,,,,,,,,,,,,
"
198	Estimating clinical severity of COVID-19 from the transmission dynamics in Wuhan, China	https://www.nature.com/articles/s41591-020-0822-7?fbclid=IwAR1Fpse5xcV__d75oBpnzOo0AhDMLHJnz0fZxk-xW8cZPJXMkXmKRlJ6YfM	As of 29 February 2020 there were 79,394 confirmed cases and 2,838 deaths from COVID-19 in mainland China. Of these, 48,557 cases and 2,169 deaths occurred in the epicenter, Wuhan. A key public health priority during the emergence of a novel pathogen is estimating …
199	[PDF][PDF] Coronavirus disease 2019 (COVID-19): situation report, 70	https://apps.who.int/iris/bitstream/handle/10665/331683/nCoVsitrep30Mar2020-eng.pdf	… 1. Countries", territories or areas with reported laboratory-confirmed COVID-19 cases and deaths.,,,,,,,,,,,,,,,
Data as of 30 March 2020* Reporting Country/ Territory/Area† Total confirmed ‡ cases Total,,,,,,,,,,,,,,,,
confirmed new cases Total deaths Total new deaths Transmission classification§ Days … ,,,,,,,,,,,,,,,,
"
200	[HTML][HTML] The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak–an update on the status	https://link.springer.com/article/10.1186/s40779-020-00240-0	An acute respiratory disease, caused by a novel coronavirus (SARS-CoV-2, previously known as 2019-nCoV), the coronavirus disease 2019 (COVID-19) has spread throughout China and received worldwide attention. On 30 January 2020, World Health Organization …
201	[HTML][HTML] Case of the index patient who caused tertiary transmission of COVID-19 infection in Korea: the application of lopinavir/ritonavir for the treatment of COVID-19 …	https://www.jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e79	Since mid-December of 2019, coronavirus disease 2019 (COVID-19) infection has been spreading from Wuhan, China. The confirmed COVID-19 patients in South Korea are those who came from or visited China. As secondary transmissions have occurred and the speed …
202	The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak	https://www.sciencedirect.com/science/article/pii/S0896841120300469	… Person-to-person transmission of COVID-19 infection led to the isolation of patients that were",,,,,,,,,,,,,,,,
subsequently administered a variety of treatments. Extensive measures to reduce,,,,,,,,,,,,,,,,
person-to-person transmission of COVID-19 have been implemented to control the current … ,,,,,,,,,,,,,,,,
"
203	High temperature and high humidity reduce the transmission of covid-19	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557152	This paper investigates how air temperature and humidity influence the transmission of COVID-19. After estimating the serial interval of COVID-19 from 105 pairs of the virus carrier and the infected, we calculate the daily effective reproductive number, R, for each of all 100 …
204	Estimation of the asymptomatic ratio of novel coronavirus infections (COVID-19)	https://www.medrxiv.org/content/10.1101/2020.02.03.20020248v2.abstract	… (Nishiura et al.", 2020a). Estimation of the asymptomatic ratio—the percentage of carriers 26 with,,,,,,,,,,,,,,,
no symptoms—will improve understanding of COVID-19 transmission and the 27 spectrum of,,,,,,,,,,,,,,,,
disease it causes, providing insight into epidemic spread. Although the 28 … ,,,,,,,,,,,,,,,
"
205	A COVID-19 Transmission within a family cluster by presymptomatic infectors in China	https://academic.oup.com/cid/advance-article-abstract/doi/10.1093/cid/ciaa316/5810900	We report a COVID-19 family cluster caused by a presymptomatic case. There were 9 family members, including 8 laboratory-confirmed with COVID-19, and a 6-year-old child had no evidence of infection. Amongst the 8 patients, one adult and one 13-month-old infant were …
206	[PDF][PDF] Pre-emptive low cost social distancing and enhanced hygiene implemented before local COVID-19 transmission could decrease the number and severity of …	https://www.mja.com.au/system/files/2020-03/FINAL%20Dalton%20preprint%20mja20.00300.pdf	China appears to have constrained transmission of COVID-19 outside of Hubei Provence through rapid and intensive containment and mitigation interventions. Most countries only attempt social distancing and hygiene interventions when widespread transmission is …
207	Temperature significant change COVID-19 Transmission in 429 cities	https://www.medrxiv.org/content/10.1101/2020.02.22.20025791v1.abstract	Background There is no evidence supporting that temperature changes COVID-19 transmission. Methods We collected the cumulative number of confirmed cases of all cities and regions affected by COVID-19 in the world from January 20 to February 4, 2020, and …
208	[HTML][HTML] Coronavirus COVID-19 impacts to dentistry and potential salivary diagnosis	https://link.springer.com/article/10.1007/s00784-020-03248-x	… The COVID-19 transmission via contact with droplets and aerosols generated during dental",,,,,,,,,,,,,,,,
clinical procedures is expected … Currently, the COVID-19 transmission routes are still to be,,,,,,,,,,,,,,,
determined, but human-to-human transmission has been confirmed [10, 11] … ,,,,,,,,,,,,,,
