source,destination,date
china,thailand,1/8/20
china,thailand,1/13/20
china,nepal,1/13/20
china,usa,1/19/20
china,hong kong,1/21/20
china,usa,1/21/20
china,usa,1/22/20
china,australia,1/22/20
china,usa,1/22/20
china,usa,1/23/20
china,singapore,1/23/20
china,japan,1/23/20
china,canada,1/23/20
china,taiwan,1/23/20
china,hong kong,1/23/20
china,france,1/23/20
china,france,1/23/20
china,australia,1/24/20
china,vietnam,1/24/20
china,vietnam,1/24/20
china,australia,1/24/20
china,taiwan,1/24/20
china,australia,1/24/20
china,south korea,1/25/20
china,hong kong,1/25/20
china,canada,1/25/20
china,canada,1/25/20
china,australia,1/25/20
china,australia,1/25/20
china,australia,1/25/20
china,japan,1/25/20
malaysia,singapore,1/25/20
taiwan,japan,1/25/20
china,singapore,1/27/20
china,india,1/27/20
china,cambodia,1/27/20
china,usa,1/27/20
china,singapore,1/27/20
belgium,china,1/28/20
belgium,germany,1/28/20
china,usa,1/28/20
china,australia,1/28/20
china,taiwan,1/28/20
china,france,1/28/20
china,united kingdom,1/29/20
china,united kingdom,1/29/20
china,singapore,1/29/20
china,france,1/29/20
china,finland,1/29/20
china,usa,1/29/20
china,france,1/29/20
china,italy,1/29/20
china,italy,1/29/20
china,japan,1/29/20
china,usa,1/29/20
china,south korea,1/30/20
china,australia,1/30/20
china,hong kong,1/30/20
china,australia,1/31/20
china,india,1/31/20
china,south korea,1/31/20
china,taiwan,1/31/20
china,usa,1/31/20
china,south korea,2/1/20
china,hong kong,2/1/20
china,singapore,2/2/20
china,australia,2/2/20
china,singapore,2/3/20
china,belgium,2/3/20
china,singapore,2/3/20
china,taiwan,2/4/20
china,australia,2/5/20
china,australia,2/5/20
china,taiwan,2/5/20
china,united kingdom,2/5/20
china,hong kong,2/5/20
china,south korea,2/6/20
china,usa,2/6/20
china,united kingdom,2/7/20
china,sweden,2/7/20
china,australia,2/8/20
china,france,2/8/20
china,united kingdom,2/8/20
china,united kingdom,2/9/20
malaysia,singapore,2/9/20
china,usa,2/10/20
china,singapore,2/10/20
singapore,japan,2/10/20
china,usa,2/11/20
china,vietnam,2/11/20
china,hong kong,2/11/20
china,hong kong,2/13/20
china,hong kong,2/13/20
australia,japan,2/14/20
china,hong kong,2/15/20
iran,canada,2/16/20
china,hong kong,2/17/20
china,hong kong,2/17/20
china,singapore,2/18/20
china,hong kong,2/19/20
china,malaysia,2/20/20
china,malaysia,2/20/20
china,malaysia,2/20/20
iran,canada,2/20/20
usa,france,2/21/20
china,hong kong,2/22/20
singapore,australia,2/22/20
china,hong kong,2/23/20
spain,australia,2/23/20
belgium,italy,2/24/20
canada,switzerland,2/24/20
china,australia,2/24/20
italy,netherlands,2/24/20
japan,australia,2/24/20
australia,united kingdom,2/25/20
italy,finland,2/25/20
italy,brazil,2/25/20
italy,germany,2/25/20
spain,france,2/25/20
belgium,united kingdom,2/26/20
belgium,united kingdom,2/26/20
belgium,denmark,2/26/20
canada,france,2/26/20
germany,austria,2/26/20
iran,norway,2/26/20
italy,austria,2/26/20
italy,switzerland,2/26/20
usa,switzerland,2/26/20
usa,france,2/26/20
usa,france,2/26/20
australia,united kingdom,2/27/20
belgium,switzerland,2/27/20
belgium,united kingdom,2/27/20
belgium,switzerland,2/27/20
iran,canada,2/27/20
iran,new zealand,2/27/20
italy,iceland,2/27/20
italy,united kingdom,2/27/20
italy,nigeria,2/27/20
italy,switzerland,2/27/20
italy,mexico,2/27/20
japan,usa,2/27/20
south korea,usa,2/27/20
spain,switzerland,2/27/20
spain,switzerland,2/27/20
united kingdom,switzerland,2/27/20
usa,norway,2/27/20
belgium,denmark,2/28/20
china,united kingdom,2/28/20
china,australia,2/28/20
france,senegal,2/28/20
iran,georgia,2/28/20
iran,australia,2/28/20
iran,canada,2/28/20
iran,australia,2/28/20
italy,brazil,2/28/20
italy,netherlands,2/28/20
spain,usa,2/28/20
switzerland,netherlands,2/28/20
united kingdom,germany,2/28/20
united kingdom,germany,2/28/20
united kingdom,spain,2/28/20
usa,france,2/28/20
australia,usa,2/29/20
belgium,united kingdom,2/29/20
belgium,luxembourg,2/29/20
belgium,usa,2/29/20
belgium,switzerland,2/29/20
belgium,switzerland,2/29/20
canada,netherlands,2/29/20
china,usa,2/29/20
france,usa,2/29/20
iran,usa,2/29/20
iran,australia,2/29/20
italy,luxembourg,2/29/20
italy,switzerland,2/29/20
italy,switzerland,2/29/20
italy,united kingdom,2/29/20
south korea,usa,2/29/20
switzerland,netherlands,2/29/20
united kingdom,brazil,2/29/20
australia,norway,3/1/20
belgium,denmark,3/1/20
belgium,switzerland,3/1/20
belgium,switzerland,3/1/20
china,usa,3/1/20
iran,canada,3/1/20
italy,belgium,3/1/20
italy,finland,3/1/20
italy,iceland,3/1/20
italy,czech republic,3/1/20
italy,iceland,3/1/20
italy,portugal,3/1/20
spain,usa,3/1/20
usa,netherlands,3/1/20
austria,iceland,3/2/20
belgium,denmark,3/2/20
belgium,netherlands,3/2/20
belgium,switzerland,3/2/20
china,spain,3/2/20
china,germany,3/2/20
china,germany,3/2/20
france,algeria,3/2/20
france,usa,3/2/20
france,senegal,3/2/20
iran,canada,3/2/20
iran,kuwait,3/2/20
iran,australia,3/2/20
iran,united kingdom,3/2/20
italy,iceland,3/2/20
italy,united kingdom,3/2/20
italy,iceland,3/2/20
italy,brazil,3/2/20
italy,iceland,3/2/20
italy,iceland,3/2/20
italy,taiwan,3/2/20
netherlands,united kingdom,3/2/20
netherlands,belgium,3/2/20
netherlands,ireland,3/2/20
new zealand,kuwait,3/2/20
spain,united kingdom,3/2/20
united kingdom,spain,3/2/20
united kingdom,denmark,3/2/20
usa,united kingdom,3/2/20
usa,norway,3/2/20
usa,new zealand,3/2/20
usa,france,3/2/20
usa,france,3/2/20
austria,iceland,3/3/20
belgium,united kingdom,3/3/20
belgium,denmark,3/3/20
belgium,ireland,3/3/20
belgium,switzerland,3/3/20
belgium,usa,3/3/20
belgium,netherlands,3/3/20
canada,usa,3/3/20
canada,italy,3/3/20
china,spain,3/3/20
france,netherlands,3/3/20
france,india,3/3/20
france,senegal,3/3/20
germany,netherlands,3/3/20
iran,austria,3/3/20
ireland,denmark,3/3/20
italy,finland,3/3/20
italy,india,3/3/20
italy,india,3/3/20
italy,india,3/3/20
italy,india,3/3/20
italy,india,3/3/20
italy,finland,3/3/20
italy,iceland,3/3/20
italy,brazil,3/3/20
italy,iceland,3/3/20
netherlands,france,3/3/20
netherlands,portugal,3/3/20
netherlands,germany,3/3/20
spain,chile,3/3/20
united kingdom,poland,3/3/20
united kingdom,brazil,3/3/20
united kingdom,denmark,3/3/20
united kingdom,ireland,3/3/20
usa,denmark,3/3/20
austria,iceland,3/4/20
austria,iceland,3/4/20
austria,iceland,3/4/20
belgium,portugal,3/4/20
belgium,brazil,3/4/20
belgium,netherlands,3/4/20
brazil,france,3/4/20
france,switzerland,3/4/20
france,switzerland,3/4/20
france,belgium,3/4/20
france,senegal,3/4/20
hong kong,canada,3/4/20
iran,pakistan,3/4/20
iran,australia,3/4/20
iran,canada,3/4/20
iran,canada,3/4/20
iran,australia,3/4/20
iran,finland,3/4/20
italy,brazil,3/4/20
italy,iceland,3/4/20
netherlands,finland,3/4/20
netherlands,new zealand,3/4/20
norway,united kingdom,3/4/20
spain,usa,3/4/20
spain,italy,3/4/20
united kingdom,brazil,3/4/20
united kingdom,netherlands,3/4/20
usa,brazil,3/4/20
usa,brazil,3/4/20
usa,france,3/4/20
usa,france,3/4/20
australia,united kingdom,3/5/20
australia,singapore,3/5/20
australia,united kingdom,3/5/20
belgium,norway,3/5/20
belgium,switzerland,3/5/20
europe,canada,3/5/20
italy,iceland,3/5/20
italy,brazil,3/5/20
italy,chile,3/5/20
netherlands,georgia,3/5/20
netherlands,belgium,3/5/20
netherlands,finland,3/5/20
united kingdom,slovenia,3/5/20
united kingdom,canada,3/5/20
usa,canada,3/5/20
usa,canada,3/5/20
usa,norway,3/5/20
usa,belgium,3/5/20
usa,france,3/5/20
belgium,slovakia,3/6/20
brazil,slovenia,3/6/20
china,singapore,3/6/20
china,netherlands,3/6/20
france,luxembourg,3/6/20
france,switzerland,3/6/20
france,slovakia,3/6/20
france,iceland,3/6/20
iran,australia,3/6/20
luxembourg,austria,3/6/20
netherlands,france,3/6/20
netherlands,ireland,3/6/20
netherlands,ireland,3/6/20
spain,chile,3/6/20
spain,panama,3/6/20
switzerland,colombia,3/6/20
switzerland,united kingdom,3/6/20
united kingdom,belgium,3/6/20
united kingdom,netherlands,3/6/20
usa,canada,3/6/20
australia,saudi arabia,3/7/20
belgium,south africa,3/7/20
belgium,vietnam,3/7/20
france,slovakia,3/7/20
france,canada,3/7/20
luxembourg,netherlands,3/7/20
netherlands,united kingdom,3/7/20
netherlands,usa,3/7/20
netherlands,united kingdom,3/7/20
netherlands,finland,3/7/20
netherlands,argentina,3/7/20
switzerland,canada,3/7/20
united kingdom,belgium,3/7/20
usa,france,3/7/20
usa,france,3/7/20
usa,france,3/7/20
usa,iceland,3/7/20
usa,canada,3/7/20
belgium,norway,3/8/20
belgium,canada,3/8/20
belgium,ireland,3/8/20
belgium,united kingdom,3/8/20
belgium,australia,3/8/20
belgium,ireland,3/8/20
egypt,japan,3/8/20
france,switzerland,3/8/20
france,luxembourg,3/8/20
france,iceland,3/8/20
japan,ireland,3/8/20
netherlands,slovakia,3/8/20
spain,georgia,3/8/20
united kingdom,netherlands,3/8/20
united kingdom,portugal,3/8/20
united kingdom,portugal,3/8/20
united kingdom,finland,3/8/20
usa,canada,3/8/20
usa,united kingdom,3/8/20
usa,france,3/8/20
australia,united kingdom,3/9/20
belgium,spain,3/9/20
belgium,netherlands,3/9/20
canada,usa,3/9/20
china,netherlands,3/9/20
china,spain,3/9/20
egypt,japan,3/9/20
france,canada,3/9/20
france,democratic republic of the congo,3/9/20
france,iceland,3/9/20
italy,spain,3/9/20
italy,iceland,3/9/20
italy,iceland,3/9/20
netherlands,ecuador,3/9/20
netherlands,belgium,3/9/20
netherlands,iceland,3/9/20
netherlands,united kingdom,3/9/20
united kingdom,netherlands,3/9/20
usa,canada,3/9/20
usa,canada,3/9/20
usa,luxembourg,3/9/20
usa,norway,3/9/20
usa,canada,3/9/20
australia,georgia,3/10/20
austria,iceland,3/10/20
austria,iceland,3/10/20
belgium,usa,3/10/20
belgium,norway,3/10/20
egypt,japan,3/10/20
egypt,japan,3/10/20
france,iceland,3/10/20
netherlands,ireland,3/10/20
